"Reaction "; dE; dG 298.15; dH 298.15; dS*298.15; 
"CH3+-USinglet + N2-USinglet = CH3-N2+-USinglet"; -199.59; -142.34; -184.10; -41.79; 
"CH3+-UTriplet + N2-USinglet = CH3-N2+-USinglet"; -539.27; -461.53; -506.57; -45.08; 
"CH3-UDoublet + N2-USinglet = CH3-N2-UDoublet"; 43.74; 98.41; 58.37; -40.07; 
"C2H5+-USinglet + N2-USinglet = C2H5-N2+-USinglet"; -53.88; 3.44; -37.90; -41.38; 
"C2H5+-UTriplet + N2-USinglet = C2H5-N2+-USinglet"; -407.19; -319.55; -367.55; -48.03; 
"C2H5-UDoublet + N2-USinglet = C2H5-N2-UDoublet"; 48.75; 106.73; 62.20; -44.56; 
"1-CH3-C2H4+-USinglet + N2-USinglet = 1-CH3-C2H4-N2+-USinglet"; 9.98; 70.31; 25.66; -44.69; 
"1-CH3-C2H4+-UTriplet + N2-USinglet = 1-CH3-C2H4-N2+-USinglet"; -359.08; -273.87; -324.72; -50.89; 
"1-CH3-C2H4-UDoublet + N2-USinglet = 1-CH3-C2H4-N2-UDoublet"; 55.76; 115.51; 67.84; -47.71; 
"1,1-(CH3)2-C2H3+-USinglet + N2-USinglet = 1,1-(CH3)2-C2H3-N2+-USinglet"; -7.79; 19.95; -3.75; -23.71; 
"1,1-(CH3)2-C2H3+-UTriplet + N2-USinglet = 1,1-(CH3)2-C2H3-N2+-USinglet"; -387.82; -346.28; -372.96; -26.70; 
"1,1-(CH3)2-C2H3-UDoublet + N2-USinglet = 1,1-(CH3)2-C2H3-N2-UDoublet"; 61.85; 119.60; 72.14; -47.50; 
"Pyridine-2+-USinglet + N2-USinglet = Pyridine-2-N2+-USinglet"; -53.71; 1.37; -43.39; -44.79; 
"Pyridine-2+-UTriplet + N2-USinglet = Pyridine-2-N2+-USinglet"; -225.00; -160.50; -210.48; -50.02; 
"Pyridine-2-UDoublet + N2-USinglet = Pyridine-2-N2-UDoublet"; 25.67; 73.01; 32.09; -40.95; 
"Pyridine-3+-USinglet + N2-USinglet = Pyridine-3-N2+-USinglet"; -116.91; -58.51; -103.66; -45.18; 
"Pyridine-3+-UTriplet + N2-USinglet = Pyridine-3-N2+-USinglet"; -219.46; -156.54; -205.06; -48.56; 
"Pyridine-3-UDoublet + N2-USinglet = Pyridine-3-N2-UDoublet"; 6.49; 56.02; 13.64; -42.41; 
"Pyridine-4+-USinglet + N2-USinglet = Pyridine-4-N2+-USinglet"; -108.65; -45.36; -91.69; -46.36; 
"Pyridine-4+-UTriplet + N2-USinglet = Pyridine-4-N2+-USinglet"; -194.84; -132.27; -180.76; -48.52; 
"Pyridine-4-UDoublet + N2-USinglet = Pyridine-4-N2-UDoublet"; 11.70; 61.47; 19.33; -42.17; 
"Pyrazine-2+-USinglet + N2-USinglet = Pyrazine-2-N2+-USinglet"; -39.04; 14.35; -29.42; -43.80; 
"Pyrazine-2+-UTriplet + N2-USinglet = Pyrazine-2-N2+-USinglet"; -213.58; -152.55; -200.30; -47.78; 
"Pyrazine-2-UDoublet + N2-USinglet = Pyrazine-2-N2-UDoublet"; 33.64; 80.30; 39.76; -40.56; 
"Pyrimidine-2+-USinglet + N2-USinglet = Pyrimidine-2-N2+-USinglet"; -54.97; -1.77; -45.76; -44.02; 
"Pyrimidine-2+-UTriplet + N2-USinglet = Pyrimidine-2-N2+-USinglet"; -189.81; -132.64; -179.40; -46.79; 
"Pyrimidine-2-UDoublet + N2-USinglet = Pyrimidine-2-N2-UDoublet"; 27.25; 75.89; 33.74; -42.18; 
"Pyrimidine-4+-USinglet + N2-USinglet = Pyrimidine-4-N2+-USinglet"; -26.71; 27.02; -16.65; -43.70; 
"Pyrimidine-4+-UTriplet + N2-USinglet = Pyrimidine-4-N2+-USinglet"; -203.93; -145.46; -192.72; -47.30; 
"Pyrimidine-4-UDoublet + N2-USinglet = Pyrimidine-4-N2-UDoublet"; 37.00; 84.92; 43.22; -41.73; 
"Pyrimidine-5+-USinglet + N2-USinglet = Pyrimidine-5-N2+-USinglet"; -141.60; -79.98; -128.41; -48.46; 
"Pyrimidine-5+-UTriplet + N2-USinglet = Pyrimidine-5-N2+-USinglet"; -176.32; -117.09; -163.95; -46.90; 
"Pyrimidine-5-UDoublet + N2-USinglet = Pyrimidine-5-N2-UDoublet"; 9.70; 58.66; 16.51; -42.18; 
"1,2,3-Triazine-4+-USinglet + N2-USinglet = 1,2,3-Triazine-4-N2+-USinglet"; 179.45; 238.99; 186.02; -53.00; 
"1,2,3-Triazine-4+-UTriplet + N2-USinglet = 1,2,3-Triazine-4-N2+-USinglet"; -125.09; -72.87; -118.84; -46.00; 
"1,2,3-Triazine-4-UDoublet + N2-USinglet = 1,2,3-Triazine-4-N2-UDoublet"; 41.00; 90.54; 48.23; -42.35; 
"1,2,3-Triazine-5+-USinglet + N2-USinglet = 1,2,3-Triazine-5-N2+-USinglet"; -55.78; -3.28; -46.04; -42.79; 
"1,2,3-Triazine-5+-UTriplet + N2-USinglet = 1,2,3-Triazine-5-N2+-USinglet"; -155.51; -94.75; -142.29; -47.57; 
"1,2,3-Triazine-5-UDoublet + N2-USinglet = 1,2,3-Triazine-5-N2-UDoublet"; 53.58; 99.35; 58.95; -40.43; 
"1,2,4-Triazine-3+-USinglet + N2-USinglet = 1,2,4-Triazine-3-N2+-USinglet"; -74.18; -19.36; -63.45; -44.12; 
"1,2,4-Triazine-3+-UTriplet + N2-USinglet = 1,2,4-Triazine-3-N2+-USinglet"; -132.43; -78.42; -124.61; -46.22; 
"1,2,4-Triazine-3-UDoublet + N2-USinglet = 1,2,4-Triazine-3-N2-UDoublet"; 28.76; 78.40; 35.76; -42.67; 
"1,2,4-Triazine-5+-USinglet + N2-USinglet = 1,2,4-Triazine-5-N2+-USinglet"; 15.25; 64.31; 22.71; -41.63; 
"1,2,4-Triazine-5+-UTriplet + N2-USinglet = 1,2,4-Triazine-5-N2+-USinglet"; -136.61; -83.51; -129.21; -45.73; 
"1,2,4-Triazine-5-UDoublet + N2-USinglet = 1,2,4-Triazine-5-N2-UDoublet"; 48.34; 96.52; 54.45; -42.10; 
"1,2,4-Triazine-6+-USinglet + N2-USinglet = 1,2,4-Triazine-6-N2+-USinglet"; -62.76; -9.77; -53.63; -43.89; 
"1,2,4-Triazine-6+-UTriplet + N2-USinglet = 1,2,4-Triazine-6-N2+-USinglet"; -128.97; -73.90; -119.97; -46.10; 
"1,2,4-Triazine-6-UDoublet + N2-USinglet = 1,2,4-Triazine-6-N2-UDoublet"; 33.91; 81.04; 40.66; -40.40; 
"1,3,5-Triazine-2+-USinglet + N2-USinglet = 1,3,5-Triazine-2-N2+-USinglet"; -35.85; 15.91; -26.61; -42.56; 
"1,3,5-Triazine-2+-UTriplet + N2-USinglet = 1,3,5-Triazine-2-N2+-USinglet"; -196.47; -140.56; -186.18; -45.65; 
"1,3,5-Triazine-2-UDoublet + N2-USinglet = 1,3,5-Triazine-2-N2-UDoublet"; 33.80; 77.39; 40.36; -37.06; 
"N-O-Pyridine-2+-USinglet + N2-USinglet = N-O-Pyridine-2-N2+-USinglet"; -215.96; -154.44; -201.21; -46.80; 
"N-O-Pyridine-2+-UTriplet + N2-USinglet = N-O-Pyridine-2-N2+-USinglet"; -124.11; -65.02; -112.83; -47.85; 
"N-O-Pyridine-2-UDoublet + N2-USinglet = N-O-Pyridine-2-N2-UDoublet"; -1.90; 50.36; 5.66; -44.73; 
"N-O-Pyridine-3+-USinglet + N2-USinglet = N-O-Pyridine-3-N2+-USinglet"; -142.18; -81.23; -127.57; -46.37; 
"N-O-Pyridine-3+-UTriplet + N2-USinglet = N-O-Pyridine-3-N2+-USinglet"; -92.34; -34.08; -81.65; -47.60; 
"N-O-Pyridine-3-UDoublet + N2-USinglet = N-O-Pyridine-3-N2-UDoublet"; 11.69; 61.74; 19.04; -42.73; 
"N-O-Pyridine-4+-USinglet + N2-USinglet = N-O-Pyridine-4-N2+-USinglet"; -201.93; -139.29; -185.67; -46.42; 
"N-O-Pyridine-4+-UTriplet + N2-USinglet = N-O-Pyridine-4-N2+-USinglet"; -123.27; -63.77; -111.53; -47.79; 
"N-O-Pyridine-4-UDoublet + N2-USinglet = N-O-Pyridine-4-N2-UDoublet"; 32.09; 79.85; 38.51; -41.37; 
"Ph+-USinglet + N2-USinglet = Ph-N2+-USinglet"; -146.51; -82.64; -129.36; -46.75; 
"Ph+-UTriplet + N2-USinglet = Ph-N2+-USinglet"; -226.20; -162.01; -211.22; -49.25; 
"Ph-UDoublet + N2-USinglet = Ph-N2-UDoublet"; 0.64; 51.60; 8.34; -43.30; 
"4-NO2-Ph+-USinglet + N2-USinglet = 4-NO2-Ph-N2+-USinglet"; -158.28; -95.37; -141.38; -46.04; 
"4-NO2-Ph+-UTriplet + N2-USinglet = 4-NO2-Ph-N2+-USinglet"; -226.48; -159.35; -211.15; -51.83; 
"4-NO2-Ph-UDoublet + N2-USinglet = 4-NO2-Ph-N2-UDoublet"; 33.20; 81.53; 40.09; -41.47; 
"4-CH3O-Ph+-USinglet + N2-USinglet = 4-CH3O-Ph-N2+-USinglet"; -180.96; -115.57; -163.35; -47.82; 
"4-CH3O-Ph+-UTriplet + N2-USinglet = 4-CH3O-Ph-N2+-USinglet"; -165.01; -104.32; -152.68; -48.40; 
"4-CH3O-Ph-UDoublet + N2-USinglet = 4-CH3O-Ph-N2-UDoublet"; -8.32; 43.41; -0.50; -43.94; 
"Pyrrole-2+-USinglet + N2-USinglet = Pyrrole-2-N2+-USinglet"; -223.46; -162.43; -208.21; -45.81; 
"Pyrrole-2+-UTriplet + N2-USinglet = Pyrrole-2-N2+-USinglet"; -164.23; -103.72; -151.22; -47.53; 
"Pyrrole-2-UDoublet + N2-USinglet = Pyrrole-2-N2-UDoublet"; -36.30; 17.97; -27.70; -45.69; 
"Pyrrole-3+-USinglet + N2-USinglet = Pyrrole-3-N2+-USinglet"; -254.26; -194.22; -239.90; -45.71; 
"Pyrrole-3+-UTriplet + N2-USinglet = Pyrrole-3-N2+-USinglet"; -198.93; -136.85; -184.98; -48.16; 
"Pyrrole-3-UDoublet + N2-USinglet = Pyrrole-3-N2-UDoublet"; -26.64; 24.94; -19.02; -43.99; 
"Pyrazole-3+-USinglet + N2-USinglet = Pyrazole-3-N2+-USinglet"; -250.11; -186.62; -234.98; -48.39; 
"Pyrazole-3+-UTriplet + N2-USinglet = Pyrazole-3-N2+-USinglet"; -258.28; -194.97; -243.27; -48.33; 
"Pyrazole-3-UDoublet + N2-USinglet = Pyrazole-3-N2-UDoublet"; -8.70; 41.90; -1.35; -43.28; 
"Pyrazole-4+-USinglet + N2-USinglet = Pyrazole-4-N2+-USinglet"; -268.87; -208.11; -255.13; -47.06; 
"Pyrazole-4+-UTriplet + N2-USinglet = Pyrazole-4-N2+-USinglet"; -246.44; -184.73; -232.78; -48.09; 
"Pyrazole-4-UDoublet + N2-USinglet = Pyrazole-4-N2-UDoublet"; -22.51; 28.10; -15.57; -43.70; 
"Pyrazole-5+-USinglet + N2-USinglet = Pyrazole-5-N2+-USinglet"; -253.80; -191.53; -237.82; -46.32; 
"Pyrazole-5+-UTriplet + N2-USinglet = Pyrazole-5-N2+-USinglet"; -202.39; -137.36; -186.19; -48.86; 
"Pyrazole-5-UDoublet + N2-USinglet = Pyrazole-5-N2-UDoublet"; -19.75; 32.07; -12.30; -44.39; 
"1,3,5-(CH3)3-Pyrazole-4+-USinglet + N2-USinglet = 1,3,5-(CH3)3-Pyrazole-4-N2+-USinglet"; -236.83; -176.05; -223.45; -47.44; 
"1,3,5-(CH3)3-Pyrazole-4+-UTriplet + N2-USinglet = 1,3,5-(CH3)3-Pyrazole-4-N2+-USinglet"; -204.97; -144.06; -191.28; -47.26; 
"1,3,5-(CH3)3-Pyrazole-4-UDoublet + N2-USinglet = 1,3,5-(CH3)3-Pyrazole-4-N2-UDoublet"; -32.49; 19.72; -25.38; -45.14; 
"C13H18N6++-USinglet + N2-USinglet = C13H18N6-N2++-USinglet"; -247.88; -185.78; -234.21; -48.46; 
"C13H18N6++-UTriplet + N2-USinglet = C13H18N6-N2++-USinglet"; -217.63; -156.29; -203.89; -47.62; 
"C13H18N6+-UDoublet + N2-USinglet = C13H18N6-N2+-UDoublet"; 2478409.18; 2477787.62; 2477534.62; -253.18; 
"C13H18N6-USinglet + N2-USinglet = C13H18N6-N2-USinglet"; 287604.66; 287638.48; 287581.37; -57.15; 
"C13H18N6-UTriplet + N2-USinglet = C13H18N6-N2-USinglet"; 2479011.36; 2478400.05; 2478140.62; -259.61; 
"C13H18N4++-USinglet + N2-USinglet = C13H18N4-N2++-USinglet"; -250.48; -189.54; -237.00; -47.49; 
"C13H18N4++-UTriplet + N2-USinglet = C13H18N4-N2++-USinglet"; -220.01; -159.49; -206.48; -47.02; 
"C13H18N4+-UDoublet + N2-USinglet = C13H18N4+-N2-UDoublet"; 287604.66; 287638.48; 287581.37; -57.15; 
"C13H18N4-USinglet + N2-USinglet = C13H18N4-N2-USinglet"; 287604.66; 287638.48; 287581.37; -57.15; 
"C13H18N4-UTriplet + N2-USinglet = C13H18N4-N2-USinglet"; 2191379.28; 2190780.06; 2190538.71; -241.51; 
"Imidazole-2+-USinglet + N2-USinglet = Imidazole-2-N2+-USinglet"; -217.32; -156.79; -202.27; -45.51; 
"Imidazole-2+-UTriplet + N2-USinglet = Imidazole-2-N2+-USinglet"; -167.17; -107.33; -154.90; -47.61; 
"Imidazole-2-UDoublet + N2-USinglet = Imidazole-2-N2-UDoublet"; -14.69; 37.55; -7.33; -44.91; 
"Imidazole-4+-USinglet + N2-USinglet = Imidazole-4-N2+-USinglet"; -243.12; -183.65; -230.63; -47.03; 
"Imidazole-4+-UTriplet + N2-USinglet = Imidazole-4-N2+-USinglet"; -203.90; -142.69; -190.72; -48.06; 
"Imidazole-4-UDoublet + N2-USinglet = Imidazole-4-N2-UDoublet"; -14.72; 35.74; -7.80; -43.56; 
"Imidazole-5+-USinglet + N2-USinglet = Imidazole-5-N2+-USinglet"; -244.64; -182.75; -231.11; -48.39; 
"Imidazole-5+-UTriplet + N2-USinglet = Imidazole-5-N2+-USinglet"; -179.01; -118.29; -165.87; -47.61; 
"Imidazole-5-UDoublet + N2-USinglet = Imidazole-5-N2-UDoublet"; -25.85; 25.75; -18.49; -44.27; 
"1H-1,2,3-Triazole-4+-USinglet + N2-USinglet = 1H-1,2,3-Triazole-4-N2+-USinglet"; -275.37; -215.43; -261.56; -46.16; 
"1H-1,2,3-Triazole-4+-UTriplet + N2-USinglet = 1H-1,2,3-Triazole-4-N2+-USinglet"; -256.57; -191.78; -240.74; -49.00; 
"1H-1,2,3-Triazole-4-UDoublet + N2-USinglet = 1H-1,2,3-Triazole-4-N2-UDoublet"; -14.47; 36.05; -7.42; -43.51; 
"1H-1,2,3-Triazole-5+-USinglet + N2-USinglet = 1H-1,2,3-Triazole-5-N2+-USinglet"; -265.78; -204.79; -251.46; -46.70; 
"1H-1,2,3-Triazole-5+-UTriplet + N2-USinglet = 1H-1,2,3-Triazole-5-N2+-USinglet"; -77.73; 4.70; -55.26; -60.00; 
"1H-1,2,3-Triazole-5-UDoublet + N2-USinglet = 1H-1,2,3-Triazole-5-N2-UDoublet"; -15.18; 35.74; -7.90; -43.67; 
"1H-1,2,4-Triazole-3+-USinglet + N2-USinglet = 1H-1,2,4-Triazole-3-N2+-USinglet"; -254.35; -194.67; -240.70; -46.06; 
